1,21,1,MPUの高速化技術の一つであるスーパスカラの特徴として、適切なものはどれか。,同時に実行可能な複数の動作をまとめて一つの命令として実行する。,独立した複数の命令ストリームを用意し、これらの実行を切り替えながら行う。,パイプラインの深さを増すとともに、パイプラインピッチを短くして、平均命令実行時間を短縮する。,パイプラインを複数用意し、同時に複数の命令を実行する。,エ,;
173,27,23,データが昇順に並ぶようにリストへデータを挿入するサブルーチンを作成した。このサブルーチンのテストに用いるデータの組合せのうち、網羅性の観点から適切なものはどれか。ここで、データは左側から順にサブルーチンへ入力する。,1、3、2、4,3、1、4、2,3、4、2、1,4、3、2、1,イ,;
174,27,24,問題を引き起こしそうなデータを大量に入力して、そのときの応答や挙動を監視することによって、ソフトウェアの脆弱性を検出するテスト手法はどれか。,限界値分析,実験計画法,ファジング,ロードテスト,ウ,;
175,27,25,A社は、新規に量産販売する組込みシステムにB社が開発し市販しているOSを改造することなく搭載しようとしている。A社がB社から許諾を受けなければならないものはどれか。,再実施権,独占的使用権,複製権,翻案権,ウ,;
176,28,1,図に示すマルチプロセッサシステムにおいて、各MPUのキャッシュメモリの内容を正しく保つために、共有する主記憶の内容が変化したかどうかを監視する動作はどれか。,データハザード,バススヌープ,ライトスルー,ライトバック,イ,28-1;
177,28,2,キャッシュメモリのアクセス時間が主記憶のアクセス時間の1/30で、ヒット率が95%のとき、主記憶の実効アクセス時間は、主記憶のアクセス時間の約何倍になるか。,0.03,0.08,0.37,0.95,イ,;
178,28,3,画面表示用フレームバッファがユニファイドメモリ方式であるシステムの特徴はどれか。,主記憶とは別に専用のフレームバッファをもつ。,主記憶の一部を表示領域として使用する。,シリアル接続した表示デバイスに、描画コマンドを用いて表示する。,表示リフレッシュが不要である。,イ,;
179,28,4,PC (Inter-Integrated Circuit) バスの特徴として、適切なものはどれか。,2線式のシリアルインタフェースで複数のデバイスを接続する。,4線式のシリアルインタフェースで複数のデバイスを接続する。,低電圧差動伝送を採用して高速化したシリアルインタフェースである。,複数のレーンを束ねることによって高速化したシリアルインタフェースである。,ア,;
180,28,5,コンピュータと周辺装置とのデータ転送方式に関して、適切な記述はどれか。,SATA、PCI Express、USBのシリアル転送方式では、高速なデータ転送のために、データ線とは独立した専用のクロック信号線を使用している。,高速パラレル転送方式では、8b/10bエンコーディングなどの符号化方式によるエンベデッドクロックを採用している。,シリアル転送方式では、データは必ずLSB側から1ビットずつ順番に転送される。,パラレル転送方式では、転送クロックを高速化すると、データの各ビット間での信号到達タイミングの整合を取ることが困難になる。,エ,;
181,28,6,故障発生率が1.0×10^-6回／秒である機器10000台が稼働している。330時間経過後に、故障していない機器の平均台数に最も近いものはどれか。ここで、故障発生率は経過時間によらず一定で、故障した機器は修理しない。また、必要であれば、故障発生率をλ回／秒、稼働時間をt秒とする次の指数関数のグラフから値を読み取って、計算に使用してもよい。,3000,5000,7000,9000,ア,28-6;
182,28,7,リアルタイムシステムにおいて、アプリケーションタスクの要求によって入出力を行うデバイスドライバのタスク部が、要求された処理が完了したときに行う通知処理はどれか。,イベントフラグを使って入出力要求元のタスクに入出力完了を通知する。,セマフォを使ってOSに入出力完了を通知する。,ハードウェアに入出力完了を通知する。,メールボックスを介してOSに入出力完了を通知する。,ア,;
183,28,8,ほとんどのプログラムの大きさがページサイズの半分以下のシステムにおいて、ページサイズを半分にしたときに予想されるものはどれか。ここで、このシステムは主記憶が不足しがちで、多重度やスループットなどのシステム性能の限界で運用しているものとする。,ページサイズが小さくなるので、領域管理などのオーバヘッドが減少する。,ページ内に余裕がなくなるので、ページ置換えによってシステム性能が低下する。,ページ内の無駄な空き領域が減少するので、主記憶不足が緩和される。,ページフォールトの回数が増加するので、システム性能が低下する。,ウ,;
184,28,9,リアルタイムOSを用いたシステムにおいて、タスクAの優先度が最も低いとする。実行状態又は実行可能状態であるタスクがタスクAだけであるとき、電力の消費を抑えるためにタスクAで行う処理として、適切なものはどれか。,各タスクの状態を再チェックする。,休止命令を実行して割込みを待つ。,システムのログ情報を記録する。,何もしないループ処理を続ける。,イ,;
185,28,10,リアルタイムOSにおいて、タスクA〜Eの発生時刻、処理時間及び優先度が次のように定められている場合、タスクCの終了時刻はタスクAが発生してから何ミリ秒後となるか。ここで、優先度は1が最も高く、優先度の高いタスクが優先的に処理されるものとする。また、OSのオーバヘッドは考慮しないものとする。,25,30,35,40,ウ,28-10;
186,28,11,コンパイラによる最適化において、オブジェクトコードの所要記憶容量が削減できるものはどれか。,関数のインライン展開,定数の畳込み,ループ内不変式の移動,ループのアンローリング,イ,;
187,28,12,ブラシ付きDCモータの制御方式に関する記述のうち、適切なものはどれか。,PWM制御は、スイッチングノイズを発生することがある。,PWM制御は、制御周期が長いほど安定したモータ駆動ができる。,リニア制御は、PWM制御よりも電力損失が少ない。,リニア制御は、開ループでトルクを制御できる。,ア,;
188,28,13,FeRAMの説明として、適切なものはどれか。,1ビットのメモリセルは4〜6個のトランジスタで構成される。,データ保持のためにリフレッシュが必要である。,バイト単位で書換えができず、ブロック単位で一括して書き換える。,フラッシュメモリよりも書換え可能回数が多く、書換え速度も高速にできる。,エ,;
189,28,14,NAND素子を用いた次の組合せ回路の出力Zを表す式はどれか。ここで、論理式中の・は論理積、+は論理和、XはXの否定を表す。,X・Y,X+Y,X・Y,X+Y,イ,28-14;
190,28,15,PWM (パルス幅変調) で変調された信号をアナログ電圧として復調する回路はどれか。,,,,,ア,28-15;
191,28,16,マイコンの出力ボードに接続されたランプ回路を図に示す。ランプが点灯するのはどの場合か。,,,,,ア,28-16;
192,28,17,TCPヘッダとUDPヘッダの両方にあるフィールドはどれか。,宛先IPアドレス,コントロールフラグ（SYN、ACKなど）,シーケンス番号,チェックサム,エ,;
193,28,18,従量課金制のクラウドサービスにおける、EDoS (Economic Denial of Service、Economic Denial of Sustainability) 攻撃の説明はどれか。,カード情報の取得を目的に、金融機関が利用しているクラウドサービスに侵入する攻撃,課金回避を目的に、同じハードウェア上に構築された別の仮想マシンに侵入し、課金機能を利用不可にする攻撃,クラウドサービス利用者の経済的な損失を目的に、リソースを大量消費させる攻撃,パスワード解析を目的に、クラウド環境のリソースを悪用する攻撃,ウ,;
194,28,19,DNSサーバに格納されるネットワーク情報のうち、外部に公開する必要がない情報が攻撃者によって読み出されることを防止するための、プライマリDNSサーバの設定はどれか。,SOAレコードのシリアル番号を更新する。,外部のDNSサーバにリソースレコードがキャッシュされる時間を短く設定する。,ゾーン転送を許可するDNSサーバを限定する。,ラウンドロビン設定を行う。,ウ,;
195,28,20,図は、階層化されたDFDにおける、あるレベルのDFDの一部である。プロセス1を子プロセスに分割して詳細化したDFDのうち、適切なものはどれか。ここで、プロセス1の子プロセスは、プロセス1-1、1-2及び1-3とする。,,,,,イ,28-20;
196,28,21,組込みシステムにおけるハードウェアとソフトウェアのコデザインの説明として適切なものはどれか。,ハードウェアとソフトウェアの開発を独立して行い、それぞれの完了後に組み合わせて統合テストを行う手法,ハードウェアとソフトウェアの切分けをシミュレーションによって十分に検証し、その後もシミュレーションを活用しながらハードウェアとソフトウェアを並行して開発していく手法,ハードウェア開発をアウトソーシングし、ソフトウェア開発に注力することによって、短期間に高性能の製品を市場に出す手法,ハードウェアをプラットフォーム化し、主にソフトウェアで機能を差別化することによって、短期間に多数の製品ラインナップを構築する手法,イ,;
197,28,22,デザインパターンの一つであるObserverパターンを利用して実現できるもとはどれか。,あるオブジェクトの状態が変化したときに、それに依存する全てのオブジェクトに自動的に通知する。,ある機能をもつオブジェクトを新しいオブジェクトでラップし、動的に機能を拡張する。,あるクラスのインスタンスが一つしか存在しないことを保証する。,配列や集合のような実装の異なるコンテナに対し、同一のインタフェースでアクセスする。,ア,;
198,28,23,通信プロトコルの記述などに使用される表記法であり、事象の発生とそのときの状態に応じたシステムの動作を記述するのに、最も適したものはどれか。,DFD,決定表,状態遷移図,特性要因図,ウ,;
199,28,24,C言語で作成されたプログラム全体で使用するスタックフレームのサイズが、確保したサイズ内に収まっていることを検証したい。各関数が使用するスタックフレームのサイズ情報に加え、必要となる情報はどれか。,各関数が使用するレジスタの退避領域のサイズ,各関数が使用するローカル変数のサイズ,各関数の呼出し関係（呼出しツリー）,グローバル変数の合計サイズ,ウ,;
200,28,25,特許のサブライセンスの説明として、適切なものはどれか。,特許の実施権の許諾を受けた者が、開発した改良特許についての実施権を、当該特許の実施権を与えた者に許諾すること,特許の実施権の許諾を受けた者が、更に第三者に当該特許の実施権を許諾すること,特許の実施権の許諾を受けた者が、当該特許に関し第三者から訴えられ当該特許が無効となった場合、特許の実施権を許諾した者から金銭的な保証を受けること,特許の実施権の許諾を受けた者が、当該特許の実施権を独占的に行使すること,イ,;
201,29,1,スーパースカラの説明として、適切なものはどれか。,処理すべきベクトルの長さがベクトルレジスタよりも長い場合、ベクトルレジスタ長の組みに分割して処理を繰り返す方式である。,パイプラインを更に細分化することによって、高速化を図る方式である。,複数のパイプラインを用い、同時に複数の命令を実行可能にすることによって、高速化を図る方式である。,命令語を長く取り、一つの命令で複数の機能ユニットを同時に制御することによって、高速化を図る方式である。,ウ,;
202,29,2,内部割込みの要因として、適切なものはどれか。,DMA転送が完了した。,インターバルタイマが満了した。,演算がオーバフローした。,電源電圧の低下を検出した。,ウ,;
203,29,3,SLC（Single-Level Cell）型と比較したとき、MLC（Multi-Level Cell）型のフラッシュメモリの優れている点はどれか。,１セル当たりの書換え時間が短い。,１セル当たりの記憶容量が大きい。,書換え可能回数が多い。,データ保持期間が長い。,イ,;
204,29,4,PWM信号を用いて音声を出力するとき、次の図のaに該当するものはどれか。,A/D変換器,D/A変換器,ハイパスフィルタ,ローパスフィルタ,エ,29-4;
205,29,5,ZigBeeの説明として、適切なものはどれか。,携帯電話などのモバイル端末とヘッドセットなどの周辺機器とを接続するための近距離の無線通信として使われる。,赤外線を利用して実現される無線通信であり、テレビ、エアコンなどのリモコンに使われる。,低消費電力で低速の通信を行い、センサネットワークなどに使われる。,連絡用、業務用などに利用される小型の携帯型トランジーバに使われる。,ウ,;
206,29,6,コンピュータの性能評価には、シミューレーションを用いた方法や解析的な方法などがある。シミュレーションを用いた方法の特徴はどれか。,解析的な方法よりも計算量が少なく、効率的に解が求まる。,解析的な方法よりも、乱数を用いることで高精度の解が得られる。,解析的に解が求められないモデルに対しても、数値的に解が求まる。,解析的に解が求められるモデルの検証には使用できない。,ウ,;
207,29,7,Java EE（Java Platform、Enterprise Edition）の構成要素の一つはどれか。,EAI,JavaScript,Servlet,UDDI,ウ,;
208,29,8,ハッシュ表の理論的な探索時間を示すグラフはどれか。ここで、複数のデータが同じハッシュ値になることはないものとする。,,,,,エ,29-8;
209,29,9,プログラムを構成するモジュールや関数の実行回数、実行時間など、性能改善のための分析に役立つ情報を収集するツールはどれか。,エミュレータ,シミュレータ,デバッガ,プロファイラ,エ,;
210,29,10,Linuxの拡張モジュールであるSELinux（Security-Enhanced Linux）を使用することによって可能になることはどれか。,スーパユーザによるリソースへのアクセスを制限して、侵入された際の影響を最小限に抑える。,接続元や使用するポート番号を制限して、侵入を防ぐ。,通信文を暗号化して、盗聴を防ぐ。,ファイルを以前の状態と比較して、改ざんを検知する。,ア,;
211,29,11,図に示すPLLがロック状態の場合、出力周波数foutを基準周波数frefで表したものはどれか。ここで、分周器の分周比はNとする。,fref/N,N/fref,1/Nfref,Nfref,エ,29-11;
212,29,12,マイコンに内蔵されたD/Aコンバータの出力電圧Voutは、次の式で表される。
　Vout ＝ (N/2^n) × Vref
N、nの組合せとして、適切なものはどれか。ここで、Vrefは基準電圧とする。,,,,,イ,29-12;
213,29,13,図の2相パルスを出力するインクリメンタル型ロータリエンコーダがある。１回転当たりの出力パルス数を90パルスとするとき、分解能は何度か。ここで、A相とB相は位相が90度ずれているものとする。,1,2,3,4,ア,29-13;
214,29,14,マイクロプロセッサの耐タンパ性を向上させる手段として、適切なものはどれか。,ESD（Electrostatic Discharge）に対する耐性を強化する。,チップ検査終了後に検査用パッドを残しておく。,チップ内部を物理的に解析しようとすると、内部回路が破壊されるようにする。,内部メモリの物理アドレスを整然と配置する。,ウ,;
215,29,15,マイコンに供給するクロックとシリアル通信ポートに使用するクロックを共用するマイコンシステムがある。クロックを2n分の１に分周するだけで57.6kビット／秒の通信速度を得るためには、マイコンに供給するクロックを何MHzにするのが最も適切か。ここで、シリアル通信ポートのクロックの精度は5%以内に収まればよいものとする。,52,60,66,72,イ,29-15;
216,29,16,エネルギーハーベスティング（環境発電）に用いられる熱電変換素子の説明として、適切なものはどれか。,自然光や人工光のエネルギーを、光起電力効果によって電気エネルギーに変換する。,ゼーベック効果によって、温度差から電気エネルギーを発生する。,素子に照射される赤外線エネルギーの変化を、焦電効果によって検出する。,ピエゾ効果によって、振動などの機械的エネルギーから電気エネルギーを発生する。,イ,;
217,29,17,１台のクライアントと１台のサーバとの間でのFTPを用いたファイル転送では、二つのコネクションを用いてデータ転送を行う。これらのコネクションの説明として、適切なものはどれか。,二つのコネクションはデータ転送用と受領応答用に分かれており、高速な転送を行うことが可能である。,二つのコネクションはデータ転送用と制御用に分かれており、データ転送中でも制御コマンドを送信することが可能である。,二つのコネクションはデータ転送用とチェックデータ転送用に分かれており、信頼性を向上させることが可能である。,二つのコネクションはバイナリデータ転送用とテキストデータ転送用に分かれており、バイナリデータとテキストデータを効率的に転送することが可能である。,イ,;
218,29,18,共通鍵暗号方式において、100人の送受信者のそれぞれが、相互に暗号化通信を行うときに必要な共通鍵の総数は幾つか。,200,4950,9900,10000,イ,;
219,29,19,TLSに関する記述のうち、適切なものはどれか。,TLSで使用するWebサーバのディジタル証明書にはIPアドレスの組込みが必須なので、WebサーバのIPアドレスを変更する場合は、ディジタル証明書を再度取得する必要がある。,TLSで使用する個人認証用のディジタル証明書は、ICカードなどに格納できるので、格納場所を特定のPCに限定する必要はない。,TLSはWebサーバを経由して特定の利用者が通信するためのプロトコルであり、Webサーバへの事前の利用者登録が不可欠である。,日本国内では、TLSで使用する共通鍵の長さは、128ビット未満に制限されている。,イ,;
220,29,20,操作に不慣れな人も利用するシステムでは、間違ったデータが入力されることがエラーメッセージを表示して次の操作を促すような設計を何というか。,フールプルーフ,フェールセーフ,フェールソフト,フォールトトレランス,ア,;
221,29,21,ソフトウェア開発・保守においてリポジトリを構築する理由として、最も適切なものはどれか。,各工程で検出した不良を管理することが可能になり、ソフトウェアの品質分析が容易になる。,各工程での作業手順を定義することが容易になり、開発時・保守時の作業ミスを防止することができる。,各工程での作業予定と実績を関連付けて管理することが可能になり、作業の進捗管理が容易になる。,各工程での成果物を一元管理することによって、開発作業・保守作業の効率が良くなり、用語の統一もできる。,エ,;
222,29,22,ヒューマンインタフェースをもつシステムにおいて、機能とヒューマンインタフェースの相互依存を弱めることによって、修正性や再利用性を向上させることを目的としたアーキテクチャパターンはどれか。,MVC,イベントシステム,マイクロカーネル,レイヤ,ア,;
223,29,23,システム及びソフトウェア品質モデルの規格であるJIS X 25010:2013によれば、システム及び／又はソフトウェア製品の品質特性の定義のうち、性能効率性の定義はどれか。,意図した保守者によって、製品又はシステムが修正することができる有効性及び効率性の度合い,明記された状態（条件）で使用する資源の量に関係する性能の度合い,明示された時間帯で、明示された条件下に、システム、製品又は構成要素が明示された機能を実行する度合い,明示された条件下で使用するとき、明示的ニーズ及びニーズを満足させる機能を、製品又はシステムが提供する度合い,イ,;
224,29,24,自動車分野の機能安全規格ISO 26262においてテスト指標として用いられるC1カバレージの説明として、適切なものはどれか。,最初にターゲットとする顧客ユースケースのテスト範囲,プログラムの分岐網羅率,保証する動作温度範囲,ユーザの振舞いや外部仕様を基にしたテスト,イ,;
225,29,25,マッシュアップを利用してWebコンテンツを表示している例として、最も適切なものはどれか。,Webブラウザにプラグインを組み込み、動画やアニメーションを表示する。,地図上のカーソル移動に伴い、Webページを切り替えずにスクロール表示する。,鉄道経路の探索結果上に、各鉄道会社のWebページへのリンクを表示する。,店舗案内のWebページ上に、他のサイトが提供する地図検索機能を利用して出力された情報を表示する。,エ,;
226,30,1,メモリマップド I/O の I/O ポートにアクセスするプログラムをC言語で記述するときの注意点として、適切なものはどれか。,アセンブラの IN/OUT 命令を用いたアクセス用関数を呼び出して、アクセスする。,コンパイラによる最適化を抑止するために、volatile 型修飾子を付けて宣言した変数へのポインタとしてアドレスを指定して、アクセスする。,他の関数からアクセスされるのを防ぐために、静的広域変数として宣言してアクセスする。,ポインタではアクセスできないので、配列として実体を宣言してアクセスする。,イ,;
227,30,2,図に示すマルチプロセッサシステムにおいて、各 MPU のキャッシュメモリの内容を正しく保つために、共有する主記憶の内容が変化したかどうかを監視する動作はどれか。,データハザード,バススヌープ,ライトスルー,ライトバック,イ,30-2;
228,30,3,8ビットの方向レジスタ及びデータレジスタで構成される IO ポートがあり、各ビ ットに LED が一つずつ負論理で接続されている。システム起動時に LED の不要な点灯を避けるための手続として、適切なものはどれか。ここで、レジスタに書き込 む値は 16進数で表現している。,データレジスタに 00 を書き込んでから、方向レジスタに FF を書き込む。,データレジスタに FF を書き込んでから、方向レジスタに FF を書き込む。,方向レジスタに FF を書き込んでから、データレジスタに 00 を書き込む。,方向レジスタに FF を書き込んでから、データレジスタに FF を書き込む。,イ,30-3;
229,30,4,JTAG(IEEE 1149.1)の説明として、適切なものはどれか。,組合せ回路のテスト生成方式,テストプローブを用いた導通テストの方法,バウンダリスキャンテストの標準方式,ビルトインセルフテストの方式,ウ,;
230,30,5,コンピュータと周辺装置とのデータ転送方式に関する記述として、適切なものはどれか。,SATA、PCI Express、USB のシリアル転送方式では、高速なデータ転送のために、データ線とは独立した専用のクロック信号線を使用している。,高速パラレル転送方式では、8b/10b エンコーディングなどの符号化方式によるエンベデッドクロックを採用している。,シリアル転送方式では、データは必ず LSB 側から1ビットずつ順番に転送される。,パラレル転送方式では、転送クロックを高速化すると、データの各ビット間での信号到達タイミングの整合を取ることが困難になる。,エ,;
231,30,6,Web システムにおいて、ロードバランサ(負荷分散装置)が定期的に行っているアプリケーションレベルの稼働監視に関する記述として、最も適切なものはどれか。,Web サーバで OS のコマンドを実行し、その結果が正常かどうかを確認する。,Web サーバの特定の URL にアクセスし、その結果に含まれる文字列が想定値と一致するかどうかを確認する。,Web サーバの特定のポートに対して接続要求パケットを発行し、確認応答パケットが返ってくるかどうかを確認する。,ネットワークの疎通を確認するコマンドを実行し、Web サーバから応答が返ってくるかどうかを確認する。,イ,;
232,30,7,スレッドとプロセスに関する記述のうち、適切なものはどれか。,スレッドとプロセスは同一のアドレス空間で実行され、スレッドとプロセスの間でコンテキストの切替えが高速に行われる。,スレッドはプロセスのサブルーチンとして、プロセスとは別のアドレス空間で実行される。,同一アドレス空間に含まれている各スレッドは、プロセスと共通のスタックとコンテキストをもつ。,同一アドレス空間に含まれているスレッド間の通信は、プロセス間の通信と比較して効率的に行われる。,エ,;
233,30,8,セマフォに関する記述のうち、適切なものはどれか。,V 操作は、待ち状態のプロセスがあれば、そのプロセスを一つ実行可能状態へ移す。,あるセマフォに対してP操作を行うためには、それに先立ってV操作が実行されていなければならない。,同一のセマフォに対して、V操作を連続して実行することはできない。,一つのプログラム内では、同時に使用できるセマフォの数は一つだけである。,ア,;
234,30,9,リアルタイム OS で用いられる、タスクがデッドラインを必ず守るデッドラインスケジューリングでは、周期タスクを図のように次の四つのパラメタ r、C、D、T (0 < x + C ≦ D ≦T )の組みで表現することができる。
二つのタスク X、Yをy = 0、D=Tという条件下で生成した場合、スケジュール が可能となる C、Dの組合せはどれか。ここで、タスクは X、Y の順に起動され、優先度はX の方が高い。また、スケジューリングはプリエンプティブ方式であり、OSのオーバヘッドは考慮しない。,,,,,イ,30-9;
235,30,10,優先度に基づくプリエンプティブなスケジューリングを行うリアルタイム OS において、タスクの優先度逆転が発生する可能性があるのはどれか。,排他制御,ポーリング,リエントラント,割込み,ア,;
236,30,11,分散開発環境において、各開発者のローカル環境に全履歴を含んだ中央リポジトリの完全な複製をもつことによって、中央リポジトリにアクセスできないときでも履歴の調査や変更の記録を可能にする、バージョン管理ツールはどれか。,Apache Subversion,CVS,Git,RCS,ウ,;
237,30,12,NAND 素子を用いた次の組合せ回路の出力 Z を表す式はどれか。ここで、論理式中の“.” は論理積、“+”は論理和、“X” はXの否定を表す。,X・Y,X＋Y,X・Y,X＋Y,イ,30-12;
238,30,13,図に示すマトリクススイッチにおいて、キーセンスを行うときのポートの機能と動作の組合せとして、適切なものはどれか。,,,,,ウ,30-13;
239,30,14,位置決めセンサに用いるインクリメンタルエンコーダの特徴はどれか。,回転方向を知るために出力信号が2相になっている。,機械的位置の絶対値をアナログ電圧で出力する。,機械的位置の変化量をアナログ電圧で出力する。,内部に機械的位置の絶対値を保持する機能を備えている。,ア,;
240,30,15,プログラムと定数をROMから読み出すために、アドレスバスとチップセレクト信号(CS)を図のように接続した。アドレスバスはA0がLSBである。このROMにアクセスできるメモリアドレスの範囲はどれか。ここで、解答群の数値は16進数で表記してある。,0000 ～ FFFF,4000 ～ 7FFF,4000 ～ FFFF,C000 ～ FFFF,ウ,30-15;
241,30,16,マイコンの出力ポートに接続されたランプ回路を図に示す。ランプが点灯するのはどの場合か。,,,,,ア,30-16;
242,30,17,サーバの負荷分散に使われる DNS ラウンドロビンに関する記述のうち、適切なものはどれか。,DNS において、一つの IPアドレスに対して複数のサーバ名を割り当てることによって実現する。,DNS において、一つのサーバ名に対して複数のサーバのIPアドレスを割り当てることによって実現する。,接続先サーバがダウンしている場合は、DNS がサーバのダウンを検知して、他のサーバに接続先を変える。,接続先サーバの負荷の状況によって、DNS が接続先を変えることができる。,イ,;
243,30,18,暗号機能を実装した IoT において脅威となるサイドチャネル攻撃に該当するものはどれか。,暗号化関数を線形近似する式を導き、その線形近似式から秘密情報の取得を試みる。,装置が発する電磁波を測定することによって秘密情報の取得を試みる。,二つの平文の差とそれぞれの暗号文の差の関係から、秘密情報の取得を試みる。,理論的にあり得る ID とパスワードの組合せの全てを適用して秘密情報の取得を試みる。,イ,;
244,30,19,暗号方式のうち、共通鍵暗号方式はどれか。,AES,ElGamal暗号,RSA,楕円曲線暗号,ア,;
245,30,20,FPGA の設計フローとして、適切なものはどれか。,機能の記述 → 配置配線 → 論理合成,機能の記述 → 論理合成 → 配置配線,配置配線 → 論理合成 → 機能の記述,論理合成 → 機能の記述 → 配置配線,イ,;
246,30,21,MISRA-C の説明として、適切なものはどれか。,オブジェクト指向の機能をもち、スマートフォンの開発などに使用されている、C言語の上位互換言語,可変長配列、複素数型などをサポートする、ISO が制定したC言語の規格,協調設計(コデザイン)でシステムをシミュレートするために使用する、C++を利用したシステム記述言語,車載システムの品質向上を目的に制定された、C言語実装法のガイドライン,エ,;
247,30,22,ホワイトボックステストのテストケースを設計する際に使用する技法はどれか。,原因・結果グラフ,限界値分析,条件網羅,同値分割,ウ,;
248,30,23,学生レコードを処理するプログラムをテストするために、実験計画法を用いてテストケースを決定する。学生レコード中のデータ項目(学生番号、科目コード、得 点)はそれぞれ二つの状態をとる。テスト対象のデータ項目から任意に二つのデー タ項目を選んだとき、二つのデータ項目がとる状態の全ての組合せが必ず同一回数 ずつ出現するように基準を設けた場合に、次の8件のテストケースの候補から、最少で幾つを採択すればよいか。,2,3,4,6,ウ,30-23;
249,30,24,ソフトウェアライフサイクルプロセスにおいて、ソフトウェア支援プロセスの一つであるソフトウェア検証プロセスの目的はどれか。,選ばれた製品及びプロセスが、該当する要求事項、計画及び合意に対して、適合しているかどうかを独立に決定すること,作業成果物及びプロセスがあらかじめ定義された条件及び計画に従っていることを保証すること,ソフトウェア作業成果物の特定の意図された用途に対する要求事項が満たされていることを確認すること,プロセス又はプロジェクトのそれぞれのソフトウェア作業成果物及び/又はソフトウェアサービスが指定の要求事項を適切に反映していることを確認すること,エ,;
250,30,25,組込みシステムの特許におけるライセンスに関する記述として、適切なものはどれか。,新規開発した組込み製品のハードウェア部分だけが、他社の特許に抵触している場合、その部分のライセンスを得ずに販売すると権利侵害になる。,他社の特許がハードウェアとソフトウェアの両方を権利範囲に含む場合、ハードウェア部分のライセンスを得れば、ソフトウェア部分は模倣して製品化できる。,ハードウェア部分の特許とソフトウェア部分の特許をそれぞれ異なる会社が保有している場合、ライセンスを得て製品化することはできない。,ハードウェア部分の特許のライセンスを得て、ソフトウェア部分だけは社内で独自に新規開発した場合、このソフトウェアを特許出願することはできない。,ア,;
251,31,1,プロセッサの省電力技術の一つであるパワーゲーティングの説明として、適切なものはどれか。,仕事量に応じて、プロセッサへ供給する電源電圧やクロック周波数を変える。,動作していない回路ブロックへのクロック供給を停止する。,動作していない回路ブロックへの電源供給を遮断する。,マルチコアプロセッサにおいて、使用しないコアの消費電力枠を、動作しているコアに割り当てる。,ウ,;
252,31,2,MLC (Multi-Level Cell) フラッシュメモリの特徴として、適切なものはどれか。,コンデンサに蓄えた電荷を用いて、データを記憶する。,電気抵抗の値を用いて、データを記憶する。,一つのメモリセルに2ビット以上のデータを記憶する。,フリップフロップを利用して、データを記憶する。,ウ,;
253,31,3,メモリインタリーブの説明として、適切なものはどれか。,CPU から主記憶へのアクセスを高速化するために、キャッシュメモリと主記憶との両方に同時にデータを書き込む。,CPU から主記憶へのアクセスを高速化するために、主記憶内部を複数のバンクに分割し、各バンクを並列にアクセスする。,CPU と主記憶のアクセス速度の違いによるボトルネックを解消するために、高速かつ小容量のメモリを配置する。,パイプライン処理を乱す要因をなくすために、キャッシュメモリを命令用とデータ用の二つに分離する。,イ,;
254,31,4,回転数が 4200回/分で、平均位置決め時間が5ミリ秒の磁気ディスク装置がある。この磁気ディスク装置の平均待ち時間は約何ミリ秒か。ここで、平均待ち時間は、平均位置決め時間と平均回転待ち時間の合計である。,7,10,12,14,ウ,;
255,31,5,15Mバイトのプログラムを圧縮して、フラッシュメモリに格納している。プログラムのサイズは圧縮によって元のサイズの40%になっている。フラッシュメモリから主記憶への転送速度が20Mバイト/秒であり、1Mバイトに圧縮されたデータの展開に主記憶上で0.03秒が掛かるとき、このプログラムが主記憶に展開されるまでの時間は何秒か。ここで、フラッシュメモリから主記憶への転送と圧縮データの展開は同時には行われないものとする。,0.48,0.75,0.93,1.20,ア,;
256,31,6,故障発生率が1.0×10^-6回/秒である機器10000台が稼働している。330時間経過後に、故障していない機器の平均台数に最も近いものはどれか。ここで、故障発生率は経過時間によらず一定で、故障した機器は修理しない。また、必要であれば、故障発生率を2回/秒、稼働時間をt秒とする次の指数関数のグラフから値を読み取って、計算に使用してよい。,3000,5000,7000,9000,ア,31-6;
257,31,7,RTOS を用いたシステムにおいて、優先度逆転の原因となるものはどれか。,優先度の高いタスク A が優先度の低いタスク B の実行に必要なリソースを占有しているが、タスク B はタスク Aに必要なリソースを占有していない。,優先度の低いタスク B が優先度の高いタスク A の実行に必要なリソースを占有しているが、タスク A はタスク Bに必要なリソースを占有していない。,優先度の低いタスク B と優先度の高いタスク A が、互いに他タスクが必要なリソースを占有し合いデッドロックとなっている。,優先度の低いタスク B のクリティカルセクション実行中は、他の処理に対して割込み禁止の排他制御を行う。,イ,;
258,31,8,セマフォの基本操作である P 操作、V 操作に関する記述のうち、適切なものはどれか。ここで、セマフォ変数は事象の数を表すものとし、初期値は1とする。,P操作とV操作は交互に行わなければならない。,P操作は資源のロック、V 操作は資源のアンロックを実現するのに使用できる。,P操作は事象の発生通知、V操作は事象の待合せに用いられる。,P操作はセマフォ変数の値を増加させ、V操作は減少させる。,イ,;
